name;width;height;bonus;cheat;acc;accordion;bear;brush;chert;coin;ball;crocodile;cup;fish;frog;medusa;minvo;neal;onion;penguine;snuff;triangle;vacom;snake;cyclopeL;cyclopeB;electro;iron;human
1-1;6;5;F;;;;;;;;;;;;;;;;;;;;3;;;;;;
1-2;6;5;B;;;;;;;;;;;;;;;1;;;;;3;;;;;;
1-3;6;5;S;;;;;;;;;;;;;;;2;;;;;2;;;;;;
1-4;6;5;H;;;1;;;;;;;;;;;;2;;;;;2;;;;;;
1-5;6;14;E;;;2;;;;;;;;;;;;2;;;;;2;;;;;;
1-6;6;14;L;;;1;1;;;;;;;;;;;2;;;;;2;;;;;;
1-7;6;14;W;;;2;1;;1;;;;;;;;;;;;;;2;;;;;;
1-8;6;5;;;;;;2;;;;;;;;;;;;;;;;1;;;;;
2-1;6;5;F;;;1;;;;;;2;;;;;;;2;;;;;;;;;;
2-2;6;5;I;;;2;;;;;;2;;;;;;;2;;;;;;;;;;
2-3;6;14;B;;;2;1;;;;;2;;;;;;;;;;;;;;;;;
2-4;6;14;E;;;;1;;1;;;2;;;;;;;2;;;;;;;;;;
2-5;14;5;H;;;2;2;1;1;;;;;;;;;;;;;;;;;;;;
2-6;14;5;L;;;2;2;1;1;;;;;;;;;;2;;;;;;;;;;
2-7;6;14;W;;;2;2;;;;;4;;;;;;;;;;;;;;;;;
2-8;14;5;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;
3-1;6;14;H;;;2;2;;1;;;;;1;;1;;;;;;;;;;;;;
3-2;14;5;B;;;2;1;;2;;;;;1;;;;;;;;;;;;;;;
3-3;14;5;I;;;1;1;;;;;;;1;;2;;;;;;;;;;;;;
3-4;6;14;E;;;2;2;;;;;;;1;;2;;;;;;;;;;;;;
3-5;14;5;L;;;1;3;1;;;;;;;;2;;;;;;;;;;;;;
3-6;14;5;S;;;2;1;1;;;;;;2;;1;;;;;;;;;;;;;
3-7;6;14;W;;;1;2;;1;;;;;3;;2;;;;;;;;;;;;;
3-8;14;5;;;;;;1;1;;;;;;;;;;;;;;;2;;;;;
4-1;14;5;B;;;2;2;;1;2;;;;;;;;;;;;;;;;;;;
4-2;14;5;L;;;2;2;;;3;;;;;;;;;;;;1;;;;;;;
4-3;14;5;E;;;2;2;;2;1;;;;;;;;;;;;;;;;;;;
4-4;6;14;H;;;2;3;1;;2;;;;;;;;;;;;1;;;;;;;
4-5;6;14;F;;;1;3;2;;2;;;;;;;;;;;;1;;;;;;;
4-6;14;5;E;;;1;3;;;2;;;;;;;;;;;;3;;;;;;;
4-7;14;5;B;;;;3;;;;;;;;;;;;;;;5;;;;;;;
4-8;14;5;;;;;;2;;;;;;;;;;;;;;;;;4;1;;;
5-1;14;5;W;;;1;2;;;;;;;;;;2;;;3;;;;;;;;;
5-2;14;5;F;;;2;1;;;;;;;;;;2;;;3;;;;;;;;;
5-3;6;14;I;;;;;1;1;;;;;;;;3;;;3;;;;;;;;;
5-4;14;5;B;;;;3;;2;;;;;;;;3;;;;;;;;;;;;
5-5;14;5;H;;;2;3;1;1;;;;;;;;;;;2;;;;;;;;;
5-6;6;14;E;;;3;3;;;;;;;;;;2;;;1;;;;;;;;;
5-7;14;5;L;;;3;;2;1;;;;;;;;;;;4;;;;;;;;;
5-8;14;5;;;;;;;;;;;;;;;;;;;;;;;;;;4;
6-1;14;5;B;;;2;3;;;;;;2;;;;;;;;3;;;;;;;;
6-2;6;14;E;;;2;3;;;;;;3;;;;;;;;2;;;;;;;;
6-3;14;5;F;;;1;3;2;;;;;1;;;;;;;;3;;;;;;;;
6-4;6;14;B;;;3;;1;1;;;;2;;;;;;;;2;;;;;;;;
6-5;6;14;F;;;3;3;2;;;;;2;;;;;;;;;;;;;;;;
6-6;14;5;L;;;4;4;;;;;;;;;;;;;;;;;;;;;;
6-7;6;14;H;;;3;4;;;;;;1;;;;;;;;2;;;;;;;;
6-8;14;5;;;;;;;;;;;;;;;;;;;;;;;9;3;;;
7-1;14;5;B;;2;3;3;1;;;;;;;1;;;;;;;;;;;;;;
7-2;6;14;L;;2;2;4;;2;;;;;;2;;;;;;;;;;;;;;
7-3;6;14;E;;3;3;3;;2;;;;;;2;;;;;;;;;;;;;;
7-4;14;5;H;;3;3;4;2;;;;;;;;;;;;;;;;;;;;;
7-5;14;5;L;;5;2;4;1;2;;;;;;;;;;;;;;;;;;;;
7-6;14;5;B;;2;3;4;2;;;;;;;3;;;;;;;;;;;;;;
7-7;6;14;W;;3;4;;2;;;;;;;3;;;;;;;;;;;;;;
7-8;14;5;;;;;;;;;;;;;;;;;;;;;;;;;4;;
8-1;14;5;B;;;2;4;1;2;;;;;;;;;;3;;;;2;;;;;;
8-2;14;5;L;;;2;3;3;;;1;;;;;;;;4;;;;2;;;;;;
8-3;6;14;E;;;3;3;2;;;1;;;;;;;;2;;;;2;;;;;;
8-4;14;5;H;;;2;2;4;2;;2;;;;;;;;3;;;;;;;;;;
8-5;14;5;L;;;3;2;2;2;;3;;;;;;;;3;;;;3;;;;;;
8-6;6;14;B;;;3;3;;;;3;;;;;;;;;;;;;;;;;;
8-7;14;5;E;;;3;2;3;;;3;;;;;;;;2;;;;2;;;;;;
8-8;14;5;;;;;;;;;;;;;;;;;;;;;;;;;;;5
